"user_id","date","dayofweek","activity_level","steps","calories","mints_asleep","time_bond","sleep_efficiency"
"1503960366","2016-04-12","Tuesday","High",13162,1985,327,346,"0.95"
"1503960366","2016-04-13","Wednesday","High",10735,1797,384,407,"0.94"
"1503960366","2016-04-15","Friday","Medium",9762,1745,412,442,"0.93"
"1503960366","2016-04-16","Saturday","High",12669,1863,340,367,"0.93"
"1503960366","2016-04-17","Sunday","Medium",9705,1728,700,712,"0.98"
"1503960366","2016-04-19","Tuesday","High",15506,2035,304,320,"0.95"
"1503960366","2016-04-20","Wednesday","High",10544,1786,360,377,"0.95"
"1503960366","2016-04-21","Thursday","Medium",9819,1775,325,364,"0.89"
"1503960366","2016-04-23","Saturday","High",14371,1949,361,384,"0.94"
"1503960366","2016-04-24","Sunday","High",10039,1788,430,449,"0.96"
"1503960366","2016-04-25","Monday","High",15355,2013,277,323,"0.86"
"1503960366","2016-04-26","Tuesday","High",13755,1970,245,274,"0.89"
"1503960366","2016-04-28","Thursday","High",13154,1898,366,393,"0.93"
"1503960366","2016-04-29","Friday","High",11181,1837,341,354,"0.96"
"1503960366","2016-04-30","Saturday","High",14673,1947,404,425,"0.95"
"1503960366","2016-05-01","Sunday","High",10602,1820,369,396,"0.93"
"1503960366","2016-05-02","Monday","High",14727,2004,277,309,"0.90"
"1503960366","2016-05-03","Tuesday","High",15103,1990,273,296,"0.92"
"1503960366","2016-05-05","Thursday","High",14070,1959,247,264,"0.94"
"1503960366","2016-05-06","Friday","High",12159,1896,334,367,"0.91"
"1503960366","2016-05-07","Saturday","High",11992,1821,331,349,"0.95"
"1503960366","2016-05-08","Sunday","High",10060,1740,594,611,"0.97"
"1503960366","2016-05-09","Monday","High",12022,1819,338,342,"0.99"
"1503960366","2016-05-10","Tuesday","High",12207,1859,383,403,"0.95"
"1503960366","2016-05-11","Wednesday","High",12770,1783,285,306,"0.93"
"1644430081","2016-04-29","Friday","low",3176,2498,119,127,"0.94"
"1644430081","2016-04-30","Saturday","High",18213,3846,124,142,"0.87"
"1644430081","2016-05-02","Monday","low",3758,2580,796,961,"0.83"
"1644430081","2016-05-08","Sunday","Medium",6724,2987,137,154,"0.89"
"1844505072","2016-04-15","Friday","low",3844,1725,644,961,"0.67"
"1844505072","2016-04-30","Saturday","low",4014,1763,722,961,"0.75"
"1844505072","2016-05-01","Sunday","low",2573,1541,590,961,"0.61"
"1927972279","2016-04-12","Tuesday","low",678,2220,750,775,"0.97"
